0.01,0.45
0.02,0.45
0.03,0.45
0.04,0.45
0.05,0.45
0.06,0.45
0.07,0.45
0.08,0.45
0.09,0.45
0.10,0.45
0.11,0.45
0.12,0.45
0.13,0.45
0.14,0.45
0.15,0.45
0.16,0.45
0.17,0.45
0.18,0.45
0.19,0.45
0.20,0.45
0.21,0.45
0.22,0.45
0.23,0.45
0.24,0.45
0.25,0.45
0.26,0.45
0.27,0.45
0.28,0.45
0.29,0.45
0.30,0.45
0.31,0.45
0.32,0.45
0.33,0.45
0.34,0.45
0.35,0.45
0.36,0.45
0.37,0.45
0.38,0.45
0.39,0.45
0.40,0.45
0.41,0.45
0.42,0.45
0.43,0.45
0.44,0.45
0.45,0.45
0.46,0.45
0.47,0.45
0.48,0.45
0.49,0.45
0.50,0.45
0.51,0.45
0.52,0.45
0.53,0.40
0.54,0.40
0.55,0.40
0.56,0.40
0.57,0.35
0.58,0.30
0.59,0.30
0.60,0.30
0.61,0.25
0.62,0.25
0.63,0.20
0.64,0.20
0.65,0.20
0.66,0.15
0.67,0.15
0.68,0.10
0.69,0.10
0.70,0.05
0.71,0.05
0.72,0.00
0.73,0.00
0.74,-0.00
0.75,-0.05
0.76,-0.05
0.77,-0.10
0.78,-0.10
0.79,-0.10
0.80,-0.15
0.81,-0.15
0.82,-0.15
0.83,-0.20
0.84,-0.20
0.85,-0.25
0.86,-0.25
0.87,-0.30
0.88,-0.25
0.89,-0.30
0.90,-0.30
0.91,-0.35
0.92,-0.35
0.93,-0.40
0.94,-0.40
0.95,-0.40
0.96,-0.45
0.97,-0.45
0.98,-0.45
0.99,-0.45
1.00,-0.45
1.01,-0.45
1.02,-0.45
1.03,-0.45
1.04,-0.45
1.05,-0.45
1.06,-0.45
1.07,-0.45
1.08,-0.45
1.09,-0.45
1.10,-0.45
1.11,-0.45
1.12,-0.45
1.13,-0.45
1.14,-0.45
1.15,-0.45
1.16,-0.45
1.17,-0.45
1.18,-0.45
1.19,-0.45
1.20,-0.45
1.21,-0.45
1.22,-0.45
1.23,-0.45
1.24,-0.45
1.25,-0.45
1.26,-0.45
1.27,-0.45
1.28,-0.45
1.29,-0.40
1.30,-0.45
1.31,-0.45
1.32,-0.45
1.33,-0.45
1.34,-0.45
